,name,category,chain,chains,currentChainTvls
25,Centrifuge,RWA Lending,Ethereum,['Ethereum'],"{'Ethereum': 1991332.4814, 'Ethereum-borrowed': 162078953.85115, 'borrowed': 162078953.85115}"
26,CREAM Finance,Lending,Ethereum,['Ethereum'],"{'Arbitrum-borrowed': 12223.94543, 'Polygon-borrowed': 86705.15584, 'BSC-borrowed': 1074000.13035, 'BSC': 2676680.96332, 'Ethereum': 45482989.38323, 'Polygon': 195097.79331, 'Arbitrum': 26874.07097, 'borrowed': 1172929.23162}"
27,Rook,Dexes,Ethereum,['Ethereum'],{'Ethereum': 5507017.33414}
28,dForce,Lending,Ethereum,['BSC'],"{'Optimism': 8012019.75775, 'Kava': 0, 'Arbitrum-borrowed': 4659526.64044, 'Polygon-borrowed': 1453805.27739, 'BSC-borrowed': 4318368.21501, 'BSC': 14085564.00452, 'Ethereum': 4569066.43651, 'Optimism-borrowed': 2622009.48078, 'Avalanche': 0, 'Ethereum-staking': 9156291.377, 'Polygon': 2774851.27795, 'Ethereum-borrowed': 4235607.00277, 'Arbitrum': 13691301.14768, 'borrowed': 17289316.6164, 'Kava-borrowed': 0, 'staking': 9156291.377, 'Avalanche-borrowed': 0}"
29,KEEP Network,Cross Chain,Ethereum,['Ethereum'],"{'Ethereum': 6862024.01903, 'Ethereum-staking': 12853629.74219, 'staking': 12853629.74219}"
30,mStable CDP,CDP,Ethereum,['Ethereum'],"{'Ethereum': 6515151.95047, 'Polygon': 4404080.58127}"
31,Kava Mint,CDP,Kava,['Kava'],{'Kava': 80891838.43421}
32,KyberSwap Classic,Dexes,Ethereum,['Bittorrent'],"{'Optimism': 1213252.64014, 'Cronos': 28.52956, 'Velas': 5.79274, 'Bittorrent': 8990172.80705, 'BSC': 619759.91953, 'Ethereum': 1913734.77998, 'Aurora': 0, 'Oasis': 8.69073, 'Avalanche': 452862.37084, 'Polygon': 8960884.98279, 'Arbitrum': 258.51304, 'Fantom': 57773.02491}"
33,The Tokenized Bitcoin,Services,Ethereum,['Ethereum'],{'Ethereum': 15805358.08002}
34,Bepswap,Dexes,Binance,['BSC'],{}
35,Hakka Finance,Derivatives,Ethereum,['Ethereum'],"{'pool2': 0, 'Ethereum-pool2': 0, 'BSC': 1005.16145, 'Ethereum': 4293194.59475, 'BSC-staking': 0, 'Ethereum-staking': 72477.44383, 'staking': 72477.44383}"
36,Kava Lend,Lending,Kava,['Kava'],"{'Kava': 87649977.97837, 'borrowed': 9656659.17493, 'Kava-borrowed': 9656659.17493}"
37,Swerve,Dexes,Ethereum,['Ethereum'],{'Ethereum': 1208491.58665}
38,Flexa,Payments,Ethereum,['Ethereum'],{'Ethereum': 96673112.36558}
39,dYdX,Derivatives,Ethereum,['Ethereum'],{'Ethereum': 341441476.45929}
40,DODO,Dexes,Ethereum,['Ethereum'],"{'BSC': 12429889.30465, 'Ethereum': 17973220.42564, 'Aurora': 104171.44838, 'Polygon': 2838038.98446, 'Arbitrum': 4174264.35605}"
41,B.Protocol,Lending,Ethereum,['Ethereum'],"{'Ethereum': 29333453.09531, 'Polygon': 1116.9202, 'Arbitrum': 180053.81621, 'Fantom': 71805.63448}"
42,Terraswap,Dexes,Terra,['Terra Classic'],"{'Terra Classic': 2991268.01746, 'Terra2': 311525.6821}"
43,Rhino.fi,Dexes,Ethereum,['Ethereum'],"{'Ethereum': 18893543.43788, 'Polygon': 618479.14452, 'Arbitrum': 484483.23017}"
44,CoFiX,Dexes,Ethereum,['Ethereum'],{'Ethereum': 20216.20115}
45,88mph,Lending,Ethereum,['Ethereum'],"{'Ethereum': 1097774.45144, 'Avalanche': 87.16403, 'Polygon': 150.63316, 'Ethereum-staking': 139472.11162, 'staking': 139472.11162, 'Fantom': 363857.22643}"
46,Siren,Options,Ethereum,['Polygon'],"{'Ethereum': 430604.8518, 'Polygon': 1393938.74835}"
47,BoringDAO,Cross Chain,Ethereum,['Bitcoin'],"{'Optimism': 53489.07756, 'Metis': 451618.62407, 'Harmony': 0, 'BSC': 78377.08498, 'IoTeX': 106412.78124, 'Ethereum': 474833.33086, 'Gnosis': 4631.94891, 'Oasis': 0, 'Heco': 12586.57116, 'Avalanche': 17588.76562, 'Ethereum-staking': 21175.03384, 'Doge': 154905.2718, 'Arbitrum': 33175.68112, 'Fantom': 16232.31877, 'staking': 21175.03384, 'Litecoin': 512673.25143, 'OKExChain': 10361.7236, 'KCC': 9242.26005, 'Boba': 0, 'Aurora': 62079.12132, 'Polygon': 31646.33385, 'Bitcoin': 1179228.63759}"
48,Bancor V2.1,Dexes,Ethereum,['Ethereum'],{'Ethereum': 27018348.89099}
49,ForTube,Lending,Ethereum,['BSC'],"{'BSC': 1192616.87929, 'IoTeX': 16788.68329, 'Ethereum': 85292.78405, 'OKExChain': 2663.24812, 'Polygon': 88285.02679}"
50,ValueDefi,Dexes,Binance,['BSC'],{'BSC': 334482.04229}
51,Cover Protocol,Insurance,Ethereum,['Ethereum'],{'Ethereum': 812357.66114}
52,TrueFi,Uncollateralized Lending,Ethereum,['Ethereum'],"{'Ethereum': 1418344.61484, 'Ethereum-staking': 16828703.99402, 'Ethereum-borrowed': 7875299.61286, 'borrowed': 7875299.61286, 'staking': 16828703.99402}"
53,WanSwap Dex,Dexes,Wanchain,['Wanchain'],{'Wanchain': 4107923.9832}
54,Venus,Lending,Binance,['BSC'],"{'BSC': 903309946.22971, 'BSC-borrowed': 772406823.1352, 'borrowed': 772406823.1352}"
55,PieDAO,Indexes,Ethereum,['Ethereum'],"{'Ethereum': 2288729.58206, 'Ethereum-staking': 2242521.94139, 'staking': 2242521.94139}"
56,Dev Protocol,Staking,Ethereum,['Ethereum'],"{'Ethereum': 0, 'Ethereum-staking': 185090.12786, 'staking': 185090.12786}"
57,Basis Cash,Algo-Stables,Ethereum,['Ethereum'],{'Ethereum': 387137.36222}
58,SynLev,Synthetics,Ethereum,['Ethereum'],{'Ethereum': 0}
59,AAVE V2,Lending,Ethereum,['Ethereum'],"{'pool2': 127441951.11055, 'Polygon-borrowed': 57247843.68593, 'Ethereum-pool2': 127441951.11055, 'Ethereum': 4205969814.27644, 'Avalanche': 49566788.55977, 'Ethereum-staking': 264506581.13309, 'Polygon': 179527411.01893, 'Ethereum-borrowed': 1901789646.00374, 'borrowed': 1977722343.95479, 'staking': 264506581.13309, 'Avalanche-borrowed': 18684854.26512}"
60,FinNexus,Options,Ethereum,['Ethereum'],"{'BSC': 46167.21205, 'Wanchain': 5473.71744, 'Ethereum': 182666.40222}"
61,Index Coop,Indexes,Ethereum,['Ethereum'],{'Ethereum': 68657011.60268}
62,Inverse Finance Frontier,CDP,Ethereum,['Ethereum'],{'Ethereum': 7505243.18128}
63,YFDAI,Services,Ethereum,['Ethereum'],"{'Ethereum': 23348.17388, 'Ethereum-staking': 3678.5464, 'staking': 3678.5464}"
64,Varen,Dexes,Ethereum,['Ethereum'],"{'Ethereum': 179525.63654, 'pool2': 37011.28308, 'Ethereum-staking': 9713.09646, 'staking': 9713.09646, 'Ethereum-pool2': 37011.28308}"
65,MDEX,Dexes,Heco,['BSC'],"{'BSC': 34783275.33458, 'Heco': 28039672.35505}"
66,BiFi,Lending,Ethereum,['Bitcoin'],"{'Klaytn': 1417612.07332, 'BSC': 4147436.15096, 'Ethereum': 2348996.56614, 'Avalanche': 211441.9684, 'Ethereum-staking': 70126.57978, 'staking': 70126.57978, 'Bitcoin': 10452991.28885}"
67,XUSD Money,Algo-Stables,Ethereum,['Ethereum'],"{'Ethereum': 28691.55065, 'pool2': 1431.95536, 'Ethereum-staking': 0, 'staking': 0, 'Ethereum-pool2': 1431.95536}"
68,DFX Finance,Dexes,Ethereum,['Ethereum'],"{'Ethereum': 3318153.26883, 'Polygon': 984541.72217}"
69,CVI Finance,Synthetics,Ethereum,['Arbitrum'],"{'pool2': 1109879.39263, 'Polygon-pool2': 38352.91014, 'Arbitrum-staking': 2982088.23479, 'Ethereum-pool2': 1071526.48249, 'Ethereum': 106985.12383, 'Ethereum-staking': 102235.8396, 'Polygon': 499883.98146, 'Polygon-staking': 2371800.40883, 'Arbitrum': 1541147.38906, 'staking': 5456124.48322}"
70,Opyn Gamma,Options,Ethereum,['Ethereum'],"{'Ethereum': 32411825.54676, 'Avalanche': 251450.39441, 'Polygon': 76704.72756}"
71,Wing Finance,Lending,Ontology,['Ontology'],"{'OntologyEVM': 2284209.436, 'OKExChain-staking': 6081.228, 'OntologyEVM-staking': 77320.048, 'OKExChain': 282624.996, 'Ontology': 19554340.74, 'Ontology-staking': 583019.788, 'Ontology-borrowed': 24817862.948, 'OntologyEVM-borrowed': 7611725.6, 'BSC-borrowed': 13640921.3, 'BSC': 6857718.588, 'Ethereum': 1240668.904, 'BSC-staking': 157493.464, 'Ethereum-staking': 35656.056, 'Ethereum-borrowed': 935625.592, 'borrowed': 47204835.072, 'OKExChain-borrowed': 198699.632, 'staking': 859570.584}"
72,Indexed Finance,Indexes,Ethereum,['Ethereum'],{'Ethereum': 1134481.72719}
73,0.exchange,Dexes,Avalanche,['Avalanche'],"{'BSC': 29499.59475, 'Avalanche': 82978.78474}"
74,1inch Network,Dexes,Ethereum,['Ethereum'],"{'BSC': 4726689.4238, 'Ethereum': 5827861.19853}"
75,dHEDGE,Indexes,Ethereum,['Optimism'],"{'Optimism': 20169506.54208, 'Ethereum': 2188885.76536, 'Polygon': 3455246.61924, 'Ethereum-staking': 1333389.15728, 'staking': 1333389.15728}"
76,Opium,Options,Ethereum,['Ethereum'],"{'BSC': 467.77349, 'Ethereum': 2673770.06208, 'Polygon': 85022.11596, 'Arbitrum': 61.85595}"
77,Armor,Insurance,Ethereum,['Ethereum'],"{'Ethereum': 0, 'Ethereum-staking': 571014.36106, 'staking': 571014.36106}"
78,Unit Protocol,CDP,Ethereum,['Ethereum'],{'Ethereum': 265694.62026}
79,Pangolin,Dexes,Avalanche,['Avalanche'],"{'Songbird': 339029.31956, 'Flare': 447530.25272, 'Songbird-staking': 68023.11597, 'Hedera': 9209167.11345, 'Avalanche': 27568159.60587, 'Avalanche-staking': 3577865.70631, 'staking': 3645888.82228}"
80,DefiDollar DAO,Algo-Stables,Ethereum,['Ethereum'],{'Ethereum': 3109516.49896}
81,BAO Swap,Dexes,xDai,['Gnosis'],{'Gnosis': 280114.27811}
82,Ooki,Lending,Ethereum,['Ethereum'],"{'Optimism': 11994.26128, 'BSC': 3356.7405, 'Ethereum': 353147.19558, 'Ethereum-staking': 4329199.80861, 'Polygon': 75989.23926, 'Arbitrum': 59627.43068, 'staking': 4329199.80861}"
83,Reflexer,CDP,Ethereum,['Ethereum'],{'Ethereum': 31768850.23591}
84,Complus Network,Dexes,Avalanche,['Avalanche'],"{'BSC': 19494.0097, 'Heco': 12994.79104, 'Avalanche': 88125.60899, 'Polygon': 342.99508}"
85,Ubeswap,Dexes,Celo,['Celo'],{'Celo': 3239294.05237}
86,PandaSwap,Dexes,Binance,['BSC'],{'BSC': 466962.7558}
87,Sablier Finance,Payments,Ethereum,['Ethereum'],"{'Ethereum': 5699405.7814, 'vesting': 128289193.28565, 'Ethereum-vesting': 128289193.28565}"
88,Multiplier,Lending,Binance,['BSC'],"{'BSC': 35999.00854, 'Ethereum': 4953.6294, 'BSC-borrowed': 192256.43644, 'borrowed': 192256.43644}"
89,Ruler,Lending,Ethereum,['Ethereum'],{'Ethereum': 0}
90,Big Data Protocol,Staking,Ethereum,['Ethereum'],"{'Ethereum': 365190.0868, 'Ethereum-staking': 1554772.10661, 'staking': 1554772.10661}"
91,MFinance,Staking,Ethereum,['Ethereum'],"{'Ethereum': 45651.53549, 'pool2': 3561.11437, 'Ethereum-staking': 13268.06809, 'staking': 13268.06809, 'Ethereum-pool2': 3561.11437}"
92,Nerve,Dexes,Binance,['BSC'],"{'BSC': 1765199.9919, 'BSC-staking': 9171.26064, 'staking': 9171.26064}"
93,Saddle Finance,Dexes,Ethereum,['Ethereum'],"{'Optimism': 302918.37769, 'Kava': 19.27036, 'Evmos': 2421.27722, 'Ethereum': 8424851.95067, 'Arbitrum': 1690676.04836, 'Fantom': 251.43616}"
94,ViperSwap,Dexes,Harmony,['Harmony'],"{'Harmony-staking': 4590.38754, 'Harmony': 144250.05076, 'staking': 4590.38754}"
95,Superfluid,Payments,Polygon,['Polygon'],"{'Optimism': 42591.66629, 'Gnosis-vesting': 26810.84927, 'Polygon-vesting': 2956813.4197, 'Avalanche-vesting': 0.67309, 'BSC': 5.5397, 'Gnosis': 83310.05662, 'vesting': 3001429.65413, 'Avalanche': 232.21281, 'Polygon': 1372131.3912, 'Arbitrum-vesting': 0, 'Arbitrum': 280765.39395, 'Optimism-vesting': 17803.07665, 'BSC-vesting': 1.63542}"
96,Goose Finance,Farm,Binance,['BSC'],{'BSC': 1701459.03}
97,MochiSwap,Dexes,Binance,['Harmony'],"{'BSC': 39079.55564, 'BSC-staking': 0, 'Harmony-staking': 0, 'Harmony': 48361.13851, 'staking': 0}"
98,Smoothy,Dexes,Ethereum,['Ethereum'],"{'BSC': 2618328.35877, 'Ethereum': 3851681.57189}"
99,Gnosis Protocol v1,Prediction Market,Ethereum,['Ethereum'],{'Ethereum': 4141538.48839}
100,Raydium,Dexes,Solana,['Solana'],{}
101,Auctus,Options,Ethereum,['Ethereum'],{'Ethereum': 122163.36108}
102,Connext,Cross Chain,Ethereum,['Gnosis'],"{'Optimism': 20046.88747, 'Cronos': 30.19289, 'Evmos': 29339.13634, 'Moonriver': 1526.97837, 'Milkomeda C1': 66302.0341, 'Harmony': 0, 'Moonbeam': 169.37379, 'BSC': 793446.01807, 'Boba': 25002.30317, 'Ethereum': 7354.21724, 'Gnosis': 2584277.99641, 'Avalanche': 145085.20381, 'Polygon': 42500.07815, 'Arbitrum': 7010.96502, 'Fuse': 426.64224, 'Fantom': 1845652.73374}"
103,DDEX,Dexes,Ethereum,['Ethereum'],{'Ethereum': 2608667.25091}
104,Defi Swap,Dexes,Ethereum,['Ethereum'],{'Ethereum': 2222576.97607}
105,DeFiner,Lending,Ethereum,['Polygon'],"{'Ethereum': 102.14919, 'OKExChain': 22.70805, 'Polygon': 778.70177}"
106,DerivaDEX,Derivatives,Ethereum,['Ethereum'],{'Ethereum': 1636968.26232}
107,Enzyme Finance,Indexes,Ethereum,['Ethereum'],{'Ethereum': 76487337.48006}
108,Erasure,Derivatives,Ethereum,['Ethereum'],{'Ethereum': 4992583.46276}
109,CreamSwap,Dexes,Ethereum,['Ethereum'],{'Ethereum': 5485793.50311}
110,FutureSwap,Derivatives,Ethereum,['Ethereum'],"{'Ethereum': 460850.26825, 'Avalanche': 32970.14192, 'Arbitrum': 421281.05821}"
111,IDEX,Dexes,Ethereum,['Polygon'],"{'Ethereum': 1298700.1336, 'Polygon': 1817060.0354}"
112,Lightning Network,Payments,Bitcoin,['Bitcoin'],{'Bitcoin': 151839091.70558}
113,Metronome V1,Services,Ethereum,['Ethereum'],{'Ethereum': 3311668.09997}
114,Notional,Lending,Ethereum,['Ethereum'],{'Ethereum': 38494718.91381}
115,PEAKDEFI,Services,Ethereum,['Ethereum'],"{'Ethereum': 110888.80413, 'BSC-staking': 758551.69468, 'Ethereum-staking': 2497133.90625, 'staking': 3255685.60094}"
116,Perlin,Dexes,Ethereum,['Ethereum'],{'Ethereum': 4691694.39718}
117,Swipe,Dexes,Ethereum,['BSC'],"{'BSC': 108488.53431, 'Ethereum': 67582.21467}"
118,Mango Markets,Lending,Solana,['Solana'],{'Solana': 0}
119,Ellipsis Finance,Dexes,Binance,['BSC'],"{'BSC': 22014103.66207, 'BSC-staking': 395267.66706, 'staking': 395267.66706}"
120,Olympus DAO,Reserve Currency,Ethereum,['Ethereum'],"{'Ethereum': 239914085.79329, 'Ethereum-staking': 14353640.07017, 'staking': 14353640.07017}"
121,CompliFi,Derivatives,Ethereum,['Polygon'],"{'Ethereum': 30881.72769, 'Polygon': 137332.92135}"
122,PowerPool,Indexes,Ethereum,['Ethereum'],"{'BSC': 18655.54983, 'Ethereum': 569293.44663}"
123,BasketDAO,Indexes,Ethereum,['Ethereum'],{'Ethereum': 258762.17141}
124,Integral,Dexes,Ethereum,['Ethereum'],{'Ethereum': 2672788.91616}
125,Whiteheart,Options,Ethereum,['Ethereum'],{'Ethereum': 2663311.81903}
126,Moola Market,Lending,Celo,['Celo'],"{'Celo': 5348206.14065, 'borrowed': 1588574.65153, 'Celo-borrowed': 1588574.65153}"
127,Energiswap,Dexes,Energi,['Energi'],{'Energi': 1767129.00632}
128,WePiggy,Lending,Ethereum,['Ethereum'],"{'Optimism': 717549.6039, 'Oasis-borrowed': 7202.79973, 'Moonriver': 15941.75056, 'Harmony': 51733.50965, 'Harmony-borrowed': 62227.51942, 'BSC': 772696.18272, 'Ethereum': 2405012.98277, 'Oasis': 13598.09473, 'Heco': 9932.17104, 'Ethereum-borrowed': 3024393.66025, 'Arbitrum': 1121236.05984, 'borrowed': 4904453.43011, 'Heco-borrowed': 294.94132, 'Moonbeam-borrowed': 2426.70333, 'OKExChain': 1246816.3521, 'Arbitrum-borrowed': 746255.1588, 'Polygon-borrowed': 14041.18743, 'BSC-borrowed': 400080.24265, 'Moonriver-borrowed': 11091.7985, 'Aurora-borrowed': 178.96094, 'Moonbeam': 23107.42092, 'Aurora': 2495.70399, 'Optimism-borrowed': 143167.48425, 'Polygon': 49418.11434, 'OKExChain-borrowed': 493092.97349}"
129,Jarvis Network,Derivatives,Ethereum,['Polygon'],"{'Optimism': 509890.92984, 'BSC': 481514.56259, 'Gnosis': 104971.55539, 'Avalanche': 1118.9355, 'Polygon': 2059971.49955, 'Arbitrum': 1164545.89082}"
130,Mimo Protocol,CDP,Ethereum,['Ethereum'],"{'Ethereum': 16754803.69537, 'Polygon': 2256293.65823, 'Fantom': 462208.19789}"
131,Unicly,Dexes,Ethereum,['Ethereum'],{'Ethereum': 2034613.21583}
132,Nsure,Insurance,Ethereum,['Ethereum'],{'Ethereum': 240662.73647}
133,SakePerp,Dexes,Ethereum,['Ethereum'],"{'BSC': 31927.61761, 'Ethereum': 168821.11745, 'BSC-staking': 5472.39622, 'Ethereum-staking': 14323.21434, 'staking': 19795.61056}"
134,Sushi Kashi,Lending,Ethereum,['Ethereum'],"{'Arbitrum-borrowed': 26337.83973, 'Polygon-borrowed': 310642.65877, 'BSC-borrowed': 20369.34955, 'BSC': 14143.21034, 'Ethereum': 455541.19568, 'Avalanche': 1470.57427, 'Polygon': 45229.95566, 'Ethereum-borrowed': 1095805.68342, 'Arbitrum': 20564.62716, 'borrowed': 1460037.72387, 'Avalanche-borrowed': 6882.19241}"
135,Fei Protocol,Algo-Stables,Ethereum,['Ethereum'],{'Ethereum': 5.79226}
136,XDeFi,Dexes,Ethereum,['Ethereum'],{'Ethereum': 365375.2011}
137,Mirror,Derivatives,Terra,['Terra Classic'],{'Terra Classic': 0}
138,Cometh,Dexes,Polygon,['Polygon'],{'Polygon': 895499.44004}
139,Primitive,Dexes,Ethereum,['Ethereum'],{'Ethereum': 49536.31271}
140,QIAN,Synthetics,Ethereum,['Ethereum'],{'Ethereum': 4082.56984}
141,Set Protocol,Indexes,Ethereum,['Ethereum'],{'Ethereum': 88870662.99855}
142,S Finance,Dexes,Ethereum,['Ethereum'],{'Ethereum': 175.56873}
143,UniTrade,Dexes,Ethereum,['Ethereum'],{'Ethereum': 388477.70872}
144,Liquity,CDP,Ethereum,['Ethereum'],{'Ethereum': 711690520.98996}
145,Honeyswap,Dexes,xDai,['Gnosis'],"{'Gnosis': 6122500.96938, 'Polygon': 87575.36301}"
146,Cryptex Finance,Indexes,Ethereum,['Ethereum'],"{'Optimism': 759.32921, 'pool2': 125484.16994, 'Ethereum-pool2': 125484.16994, 'Ethereum-treasury': 12253.80848, 'Ethereum': 858879.06711, 'Ethereum-staking': 28703.78713, 'treasury': 12253.80848, 'staking': 28703.78713}"
147,Serum,Dexes,Solana,['Solana'],{'Solana': 596348.83733}
148,Oxygen,Lending,Solana,['Solana'],"{'Solana-borrowed': 481980.67172, 'Solana': 464957.74128, 'borrowed': 481980.67172}"
149,Yam Finance,Synthetics,Ethereum,['Ethereum'],{'Ethereum': 230242.62395}
150,Orca,Dexes,Solana,['Solana'],{}
151,Serum Swap,Dexes,Solana,['Solana'],{'Solana': 154872.81484}
152,YetiSwap,Dexes,Avalanche,['Avalanche'],{'Avalanche': 102636.80928}
153,SpookySwap,Dexes,Fantom,['Fantom'],{'Fantom': 98948890.81992}
154,HyperJump,Dexes,Fantom,['Fantom'],"{'BSC': 249458.49581, 'Metis': 16667.4884, 'Fantom': 568084.96742}"
155,Baguette,Dexes,Avalanche,['Avalanche'],{'Avalanche': 136223.61238}
156,Swapr,Dexes,Ethereum,['Gnosis'],"{'Ethereum': 1228076.16463, 'Gnosis': 10254294.23995, 'Arbitrum': 328259.38578}"
157,Lydia,Dexes,Avalanche,['Avalanche'],{'Avalanche': 247994.27146}
158,PancakeSwap AMM,Dexes,Binance,['BSC'],"{'BSC': 2159680773.74773, 'Ethereum': 19261967.2663, 'BSC-staking': 1042260446.67479, 'Aptos': 25329797.1823, 'staking': 1042260446.67479}"
159,Anchor,Lending,Terra,['Terra Classic'],"{'Avalanche': 47460.05264, 'Terra Classic-borrowed': 0.05134, 'Terra Classic': 2019787.23838, 'borrowed': 0.05134}"
160,Balancer V2,Dexes,Ethereum,['Ethereum'],"{'Ethereum': 1022446827.82718, 'Gnosis': 2861523.07432, 'Polygon': 122699378.25768, 'Arbitrum': 43149354.73889}"
161,Zookeeper,Yield,Wanchain,['Wanchain'],"{'Wanchain': 3382447.44122, 'Avalanche': 995267.14954}"
162,Levinswap,Dexes,xDai,['Gnosis'],"{'Gnosis': 426839.86474, 'staking': 0, 'Gnosis-staking': 0}"
163,BondAppetit,Lending,Ethereum,['Ethereum'],{'Ethereum': 35883.62}
164,SpiritSwap AMM,Dexes,Fantom,['Fantom'],"{'Fantom-staking': 3438008.66636, 'staking': 3438008.66636, 'Fantom': 10690602.39695}"
165,Channels Finance,Lending,Heco,['Heco'],"{'Arbitrum-borrowed': 649.67899, 'BSC-borrowed': 58409.72761, 'BSC': 319040.86806, 'Heco': 3496561.07848, 'Arbitrum': 43892.31085, 'borrowed': 483807.24322, 'Heco-borrowed': 424747.83663}"
166,Panda Chef,Farm,Binance,['BSC'],"{'BSC': 57442.84267, 'BSC-staking': 0, 'staking': 0}"
167,Gondola Finance,Dexes,Avalanche,['Avalanche'],{'Avalanche': 5363.36332}
168,Waka Finance,Dexes,Fantom,['Fantom'],{'Fantom': 137242.20342}
169,Lien,Options,Ethereum,['Ethereum'],{'Ethereum': 175601.87259}
170,QiDao,CDP,Polygon,['Polygon'],"{'Optimism': 9017025.5992, 'Metis': 2710895.98797, 'Moonriver': 96.76138, 'Harmony': 6237.91554, 'Moonbeam': 57611.7341, 'BSC': 592022.30507, 'Ethereum': 7666122.35215, 'Gnosis': 55707.95145, 'Avalanche': 860749.53989, 'Polygon': 26972620.64819, 'Arbitrum': 2493808.11596, 'Fantom': 9007650.28316}"
171,ZilSwap,Dexes,Zilliqa,['Zilliqa'],{'Zilliqa': 5294533.50314}
172,Flamingo Finance,Dexes,NEO,['NEO'],{'NEO': 49857249.88821}
173,Uniswap V3,Dexes,Ethereum,['Ethereum'],"{'Optimism': 51843491.87184, 'BSC': 11477531.16397, 'Ethereum': 2325748040.89475, 'Polygon': 92661512.35803, 'Celo': 1733855.272, 'Arbitrum': 179990388.3594}"
174,unFederalReserve,Lending,Ethereum,['Ethereum'],"{'Ethereum': 532873.52306, 'Ethereum-borrowed': 397515.91437, 'borrowed': 397515.91437}"
175,Fuji Finance,Lending,Ethereum,['Arbitrum'],"{'Optimism': 232.25885, 'Ethereum': 141339.0887, 'Polygon': 5565.73358, 'Arbitrum': 287912.39165, 'Fantom': 39161.90666}"
