,Unnamed: 0,chain,protocol,protocol_category,protocol_chains,protocol_mcaptvl,protocol_tvl,protocol_mcap,protocol_strikeTvl
879,879,OKExChain,Swap Cat,Dexes,"['Gnosis', 'Heco', 'OKExChain', 'Songbird', 'Harmony', 'KCC', 'Fantom', 'BSC', 'EthereumClassic', 'Celo', 'TomoChain', 'GoChain', 'Ethereum', 'EnergyWeb', 'Rootstock', 'Moonriver', 'HPB', 'Avalanche', 'Polygon', 'smartBCH', 'Arbitrum']",,0.0,,False
880,880,OKExChain,CryptoBlades,Gaming,"['Aurora', 'OKExChain', 'Kava', 'Heco', 'BSC', 'Avalanche', 'Polygon']",,0.0,1048454.884451442,False
881,881,Conflux,Swappi,Dexes,['Conflux'],,25209777.254216764,0.0,False
882,882,Conflux,Nucleon,Liquid Staking,['Conflux'],,7725308.800409518,0.0,True
883,883,Conflux,Goledo,Lending,['Conflux'],,2018524.4962469724,0.0,False
884,884,Conflux,Moon Swap,Dexes,['Conflux'],,1973360.7658762448,0.0,False
885,885,Conflux,Flux Protocol,Lending,"['OKExChain', 'BSC', 'Ethereum', 'Conflux', 'Arbitrum', 'Polygon']",,0.0,0.0,False
886,886,IoTeX,FilDA,Lending,"['IoTeX', 'Heco', 'Elastos', 'REI', 'Arbitrum', 'Polygon', 'BSC', 'Kava', 'Bittorrent']",0.0458400439497773,9372000.55166322,429612.9171855794,False
887,887,IoTeX,Mimo,Dexes,['IoTeX'],,9014523.597662617,,False
888,888,IoTeX,UniFi,Dexes,"['IoTeX', 'Tron', 'Icon', 'Ontology', 'Harmony', 'BSC', 'Ethereum', 'Polygon', 'Avalanche', 'Fantom', 'OntologyEVM', 'Bittorrent']",9.829315976103484,3353446.208924288,32962082.396383163,False
889,889,IoTeX,ZoomSwap,Farm,['IoTeX'],0.0118051834028315,2266377.0508331098,26754.99674505338,False
890,890,IoTeX,xDollar,CDP,"['IoTeX', 'Polygon', 'Ethereum', 'Arbitrum', 'Avalanche']",,258975.20102992267,0.0,False
891,891,IoTeX,MinMax Finance,Dexes,['IoTeX'],,124520.98170909291,0.0,False
892,892,IoTeX,BoringDAO,Cross Chain,"['Bitcoin', 'Litecoin', 'Ethereum', 'Metis', 'Doge', 'IoTeX', 'BSC', 'Aurora', 'Optimism', 'Arbitrum', 'Polygon', 'Avalanche', 'Fantom', 'Heco', 'OKExChain', 'KCC', 'Gnosis', 'Harmony', 'Oasis', 'Boba']",34.55543653774681,105253.35193528212,3637075.523184771,False
893,893,IoTeX,Parrot Defi,Farm,"['IoTeX', 'Arbitrum', 'Polygon', 'Harmony']",,67197.41420265834,,False
894,894,IoTeX,Elk,Dexes,"['Polygon', 'Kava', 'Avalanche', 'BSC', 'Fantom', 'Elastos', 'Gnosis', 'Ethereum', 'Cronos', 'Arbitrum', 'Optimism', 'IoTeX', 'Fuse', 'Telos', 'KCC', 'Heco', 'Bittorrent', 'OKExChain', 'Moonriver', 'Harmony', 'Hoo']",48.547920916020736,39289.90223529701,1907443.0665173857,False
895,895,IoTeX,Magic Land,Yield,"['IoTeX', 'Arbitrum']",,35721.62245742389,,True
896,896,IoTeX,WOWswap,Dexes,"['Avalanche', 'BSC', 'IoTeX', 'Polygon', 'Ethereum', 'Heco', 'Kava', 'Metis']",1.7943132737501764,34907.997092435515,62635.8825429896,False
897,897,IoTeX,Cyclone,Yield,"['Ethereum', 'BSC', 'IoTeX', 'Polygon']",,31764.456,0.0,True
898,898,IoTeX,ForTube,Lending,"['BSC', 'Polygon', 'Ethereum', 'IoTeX', 'OKExChain']",822.3043621457888,16694.25626294515,13727759.74779945,False
899,899,IoTeX,StarCrazy,Gaming,['IoTeX'],,0.0,266281.0269165288,False
900,900,IoTeX,IoTeX Monster Go,Gaming,['IoTeX'],,0.0,0.0,False
901,901,IoTeX,Know-To-Earn,Services,['IoTeX'],,0.0,,False
902,902,Terra2,Astroport,Dexes,"['Terra2', 'Terra Classic']",0.0292826091294059,15949528.956663763,467043.8222361264,False
903,903,Terra2,Risk Harbor,Insurance,"['Terra2', 'Avalanche', 'Optimism', 'Ethereum', 'Arbitrum', 'Fantom', 'Aurora', 'Terra Classic']",,8172955.210713119,,False
904,904,Terra2,Eris Protocol,Liquid Staking,"['Terra2', 'Terra Classic']",,1371114.2469864152,,True
905,905,Terra2,Stader,Liquid Staking,"['Ethereum', 'Hedera', 'BSC', 'Fantom', 'Near', 'Terra2']",21.76230871729916,1167048.0874728,25397660.767516628,True
906,906,Terra2,Spectrum Protocol,Yield,"['Terra Classic', 'Terra2']",0.1683220759932279,669692.8354985805,112724.08834891237,True
907,907,Terra2,Terraswap,Dexes,"['Terra Classic', 'Terra2']",,306362.13800828054,,False
908,908,Terra2,Phoenix DEX,Dexes,['Terra2'],,21048.792032904235,,False
909,909,Acala,Acala LCDOT,Liquid Staking,['Acala'],,154825745.59675607,,True
910,910,Acala,Acala Dollar,CDP,['Acala'],,20607603.48736025,,False
911,911,Acala,Acala Liquid-Staking,Liquid Staking,['Acala'],,14785263.501773909,,True
912,912,Acala,Acala Swap,Dexes,['Acala'],,1991915.3571814836,,False
