,name,category,chain,chains,currentChainTvls,currentChainTvls_agg,Tokens
370,Cap,Derivatives,Arbitrum,['Arbitrum'],"{'Arbitrum-staking': 815224.87986, 'Arbitrum': 1099158.28005, 'staking': 815224.87986}",2729608.0397699997,"dict_keys(['Arbitrum-staking', 'Arbitrum', 'staking'])"
371,eCurve,Dexes,EOS,['EOS'],{},0.0,dict_keys([])
372,BNBMiner Finance,Services,Binance,['BSC'],{'BSC': 374960.70564},374960.70564,dict_keys(['BSC'])
373,Amy Finance,Lending,Arbitrum,['Arbitrum'],{'Arbitrum': 0},0.0,dict_keys(['Arbitrum'])
374,Composable Finance,Cross Chain,Ethereum,['Ethereum'],"{'Ethereum': 748088.52698, 'Polygon': 0, 'Arbitrum': 0}",748088.52698,"dict_keys(['Ethereum', 'Polygon', 'Arbitrum'])"
375,SwapMatic,Dexes,Polygon,['Polygon'],{'Polygon': 2424.99044},2424.99044,dict_keys(['Polygon'])
376,Paladin Finance,Lending,Ethereum,['Ethereum'],{'Ethereum': 1519641.28838},1519641.28838,dict_keys(['Ethereum'])
377,Reserve,CDP,Ethereum,['Ethereum'],"{'Ethereum': 7919584.56696, 'Ethereum-staking': 2199814.24769, 'staking': 2199814.24769}",12319213.06234,"dict_keys(['Ethereum', 'Ethereum-staking', 'staking'])"
378,Float,Derivatives,Polygon,['Polygon'],"{'Avalanche': 17321.80027, 'Polygon': 151040.39182}",168362.19209,"dict_keys(['Avalanche', 'Polygon'])"
379,Huckleberry AMM,Dexes,Moonriver,['Moonriver'],"{'Moonriver-staking': 47001.49786, 'Moonriver': 297635.84556, 'CLV': 31433.49188, 'staking': 47001.49786}",423072.33316,"dict_keys(['Moonriver-staking', 'Moonriver', 'CLV', 'staking'])"
380,Market,Lending,Polygon,['Polygon'],"{'Fantom-borrowed': 1082785.87741, 'Polygon': 533791.83826, 'Polygon-borrowed': 100033.40037, 'borrowed': 1182819.27778, 'Fantom': -203600.2101}",2695830.18372,"dict_keys(['Fantom-borrowed', 'Polygon', 'Polygon-borrowed', 'borrowed', 'Fantom'])"
381,MojitoSwap,Dexes,Kucoin,['KCC'],"{'KCC-staking': 4327428.69695, 'KCC': 31622523.50839, 'staking': 4327428.69695}",40277380.90229,"dict_keys(['KCC-staking', 'KCC', 'staking'])"
382,Augmented Finance,Lending,Ethereum,['BSC'],"{'BSC-borrowed': 16951.18195, 'Gnosis-borrowed': 8793.75325, 'BSC': 25287.99112, 'Ethereum': 20625.04632, 'Gnosis': 1363.26145, 'Avalanche': 20932.79316, 'Ethereum-borrowed': 47418.36616, 'borrowed': 104872.97855, 'Avalanche-borrowed': 31709.67719}",277955.04915,"dict_keys(['BSC-borrowed', 'Gnosis-borrowed', 'BSC', 'Ethereum', 'Gnosis', 'Avalanche', 'Ethereum-borrowed', 'borrowed', 'Avalanche-borrowed'])"
383,Geist Finance,Lending,Fantom,['Fantom'],"{'pool2': 1043622.96554, 'Fantom-staking': 8090802.61423, 'Fantom-borrowed': 21878239.66979, 'borrowed': 21878239.66979, 'Fantom-pool2': 1043622.96554, 'Fantom': 45559257.91417, 'staking': 8090802.61423}",107584588.41329,"dict_keys(['pool2', 'Fantom-staking', 'Fantom-borrowed', 'borrowed', 'Fantom-pool2', 'Fantom', 'staking'])"
384,LatteSwap,Dexes,Binance,['BSC'],"{'BSC': 63050.71678, 'BSC-staking': 0, 'staking': 0}",63050.71678,"dict_keys(['BSC', 'BSC-staking', 'staking'])"
385,UniFi,Dexes,Binance,['IoTeX'],"{'OntologyEVM': 51.47408, 'Icon': 225607.95428, 'Ontology': 151618.42484, 'Harmony': 110208.42594, 'Bittorrent': 4.10367, 'BSC': 50746.76518, 'IoTeX': 3351431.08892, 'Ethereum': 4495.10835, 'Avalanche': 3134.70503, 'Ethereum-staking': 1944325.45114, 'Polygon': 3755.48837, 'Tron': 1374592.2404, 'Fantom': 99.27808, 'staking': 1944325.45114}",9164395.95942,"dict_keys(['OntologyEVM', 'Icon', 'Ontology', 'Harmony', 'Bittorrent', 'BSC', 'IoTeX', 'Ethereum', 'Avalanche', 'Ethereum-staking', 'Polygon', 'Tron', 'Fantom', 'staking'])"
386,Jet,Lending,Solana,['Solana'],"{'Solana-borrowed': 147917.90615, 'Solana': 363091.87233, 'borrowed': 147917.90615}",658927.68463,"dict_keys(['Solana-borrowed', 'Solana', 'borrowed'])"
387,Alkemi,Lending,Ethereum,['Ethereum'],{'Ethereum': 343627.22647},343627.22647,dict_keys(['Ethereum'])
388,EmiSwap,Dexes,Ethereum,['Shiden'],"{'KCC': 33475.60992, 'Ethereum': 35037.3294, 'Aurora': 0.01301, 'Astar': 133.6953, 'Shiden': 198888.37506, 'Avalanche': 2.01037, 'Ethereum-staking': 0, 'Polygon': 28507.34983, 'staking': 0}",296044.38289,"dict_keys(['KCC', 'Ethereum', 'Aurora', 'Astar', 'Shiden', 'Avalanche', 'Ethereum-staking', 'Polygon', 'staking'])"
389,Atrix,Dexes,Solana,['Solana'],{},0.0,dict_keys([])
390,Beethoven X,Dexes,Fantom,['Fantom'],"{'Optimism': 41773476.06461, 'Fantom': 47274875.60419}",89048351.6688,"dict_keys(['Optimism', 'Fantom'])"
391,Trava Finance,Lending,Binance,['BSC'],"{'BSC': 281095.22395, 'Fantom': 26406.0898}",307501.31375000003,"dict_keys(['BSC', 'Fantom'])"
392,HurricaneSwap,Dexes,Avalanche,['Avalanche'],"{'Avalanche': 237692.71922, 'Avalanche-staking': 118260.18421, 'staking': 118260.18421}",474213.08764000004,"dict_keys(['Avalanche', 'Avalanche-staking', 'staking'])"
393,OrcaDAO,Lending,Avalanche,['Avalanche'],"{'pool2': 10190.11098, 'Avalanche-treasury': 14382.88354, 'Avalanche': 28996.71554, 'Avalanche-staking': 724.14438, 'borrowed': 17842.64586, 'Avalanche-pool2': 10190.11098, 'treasury': 14382.88354, 'staking': 724.14438, 'Avalanche-borrowed': 17842.64586}",115276.28506,"dict_keys(['pool2', 'Avalanche-treasury', 'Avalanche', 'Avalanche-staking', 'borrowed', 'Avalanche-pool2', 'treasury', 'staking', 'Avalanche-borrowed'])"
394,Elephantdex,Dexes,Harmony,['Harmony'],{'Harmony': 3912.3969},3912.3969,dict_keys(['Harmony'])
395,Mars Ecosystem,CDP,Binance,['BSC'],"{'BSC': 2314745.68945, 'BSC-staking': 522779.95746, 'staking': 522779.95746}",3360305.6043700003,"dict_keys(['BSC', 'BSC-staking', 'staking'])"
396,Shield,Options,Binance,['BSC'],{'BSC': 90551.44928},90551.44928,dict_keys(['BSC'])
397,CarbonSwap,Dexes,EnergyWeb,['EnergyWeb'],{'EnergyWeb': 587174.36583},587174.36583,dict_keys(['EnergyWeb'])
398,Aavegotchi,Gaming,Ethereum,['Polygon'],"{'pool2': 610642.6513, 'Polygon-pool2': 610642.6513, 'Ethereum': 276378.89105, 'Polygon': 2112183.15773, 'Polygon-staking': 2463224.68292, 'staking': 2463224.68292}",8536296.717219999,"dict_keys(['pool2', 'Polygon-pool2', 'Ethereum', 'Polygon', 'Polygon-staking', 'staking'])"
399,RskSwap,Dexes,RSK,['Rootstock'],{'Rootstock': 75945.67082},75945.67082,dict_keys(['Rootstock'])
400,SheepDex,Dexes,Binance,['BSC'],{'BSC': 211295.16733},211295.16733,dict_keys(['BSC'])
401,Dark Matter,Farm,Fantom,['Fantom'],"{'pool2': 8336.39227, 'Fantom-staking': 10814.89618, 'Fantom-pool2': 8336.39227, 'staking': 10814.89618, 'Fantom': 41315.85137}",79618.42827,"dict_keys(['pool2', 'Fantom-staking', 'Fantom-pool2', 'staking', 'Fantom'])"
402,Phoenix Finance,Options,Polygon,['BSC'],"{'BSC': 35841.85624, 'Wanchain': 3921.06176, 'Polygon': 18887.21788}",58650.13588,"dict_keys(['BSC', 'Wanchain', 'Polygon'])"
403,JSwap,Dexes,OKExChain,['OKExChain'],{'OKExChain': 877879.11545},877879.11545,dict_keys(['OKExChain'])
404,Tinyman,Dexes,Algorand,['Algorand'],{'Algorand': 10333596.69285},10333596.69285,dict_keys(['Algorand'])
405,Koala Defi,Farm,Binance,['BSC'],"{'pool2': 2765.93637, 'Polygon-pool2': 171.94703, 'BSC-pool2': 2593.98934, 'BSC': 11719.97777, 'BSC-staking': 1381.5637, 'Polygon': 1146.0438, 'Polygon-staking': 148.1584, 'staking': 1529.7221}",21457.338509999998,"dict_keys(['pool2', 'Polygon-pool2', 'BSC-pool2', 'BSC', 'BSC-staking', 'Polygon', 'Polygon-staking', 'staking'])"
406,GoSwap,Dexes,GoChain,['GoChain'],{'GoChain': 16642.31877},16642.31877,dict_keys(['GoChain'])
407,Kalata,Synthetics,Binance,['BSC'],"{'BSC': 7121.33501, 'BSC-staking': 0, 'staking': 0}",7121.33501,"dict_keys(['BSC', 'BSC-staking', 'staking'])"
408,Klima DAO,Reserve Currency,Polygon,['Polygon'],"{'Polygon': 45330213.77273, 'Polygon-staking': 20510311.47175, 'staking': 20510311.47175}",86350836.71623,"dict_keys(['Polygon', 'Polygon-staking', 'staking'])"
409,MonoX,Dexes,Ethereum,['Polygon'],"{'Ethereum': 386.97442, 'Polygon': 11519.11944}",11906.09386,"dict_keys(['Ethereum', 'Polygon'])"
410,Dinosaur Eggs,Dexes,Binance,['BSC'],{'BSC': 645087.9329},645087.9329,dict_keys(['BSC'])
411,Agave,Lending,xDai,['Gnosis'],"{'Gnosis': 11451887.31053, 'Gnosis-borrowed': 1274071.30828, 'borrowed': 1274071.30828, 'staking': 236527.03649, 'Gnosis-staking': 236527.03649}",14473084.000070002,"dict_keys(['Gnosis', 'Gnosis-borrowed', 'borrowed', 'staking', 'Gnosis-staking'])"
412,Cook Finance,Indexes,Ethereum,['BSC'],"{'pool2': 94293.42642, 'Heco-staking': 280.10539, 'BSC-pool2': 0, 'Ethereum-pool2': 74126.24527, 'BSC': 121678.36717, 'Ethereum': 15905.54531, 'BSC-staking': 24406.38148, 'Avalanche': 27833.31901, 'Avalanche-staking': 6.84643, 'Ethereum-staking': 24465.25939, 'Heco-pool2': 4255.05306, 'Avalanche-pool2': 15912.1281, 'staking': 49158.59269}",452321.26972,"dict_keys(['pool2', 'Heco-staking', 'BSC-pool2', 'Ethereum-pool2', 'BSC', 'Ethereum', 'BSC-staking', 'Avalanche', 'Avalanche-staking', 'Ethereum-staking', 'Heco-pool2', 'Avalanche-pool2', 'staking'])"
413,Polly Finance,Indexes,Polygon,['Polygon'],"{'Polygon': 124229.22345, 'pool2': 46137.89211, 'Polygon-pool2': 46137.89211}",216505.00767000002,"dict_keys(['Polygon', 'pool2', 'Polygon-pool2'])"
414,Yield Protocol,Lending,Ethereum,['Arbitrum'],"{'Ethereum': 959962.32387, 'Arbitrum': 1605570.10712}",2565532.4309900003,"dict_keys(['Ethereum', 'Arbitrum'])"
415,Poof Cash,Lending,Celo,['Celo'],{'Celo': 192767.48506},192767.48506,dict_keys(['Celo'])
416,Behodler,Dexes,Ethereum,['Ethereum'],{'Ethereum': 78927.30161},78927.30161,dict_keys(['Ethereum'])
417,Coffin Finance,Algo-Stables,Fantom,['Fantom'],"{'Fantom-staking': 11647.83579, 'staking': 11647.83579, 'Fantom': 89495.03377}",112790.70534999999,"dict_keys(['Fantom-staking', 'staking', 'Fantom'])"
418,TTswap,Dexes,ThunderCore,['ThunderCore'],{'ThunderCore': 1550212.84898},1550212.84898,dict_keys(['ThunderCore'])
419,LuaSwap,Dexes,Ethereum,['Ethereum'],"{'TomoChain': 623414.08541, 'Ethereum': 820703.49517}",1444117.58058,"dict_keys(['TomoChain', 'Ethereum'])"
420,Squid-Defi,Farm,Fantom,['Fantom'],"{'pool2': 40.24826, 'Fantom-staking': 0, 'Fantom-pool2': 40.24826, 'staking': 0, 'Fantom': 1015.45874}",1095.95526,"dict_keys(['pool2', 'Fantom-staking', 'Fantom-pool2', 'staking', 'Fantom'])"
421,Polymarket,Prediction Market,Polygon,['Polygon'],{'Polygon': 5510083.90337},5510083.90337,dict_keys(['Polygon'])
422,Voltage,Dexes,Fuse,['Fuse'],"{'Fuse-borrowed': 6005208.28207, 'Fuse-staking': 105175.73126, 'borrowed': 6005208.28207, 'Fuse': 1243021.98051, 'staking': 105175.73126}",13463790.00717,"dict_keys(['Fuse-borrowed', 'Fuse-staking', 'borrowed', 'Fuse', 'staking'])"
423,handle.fi,CDP,Arbitrum,['Arbitrum'],"{'pool2': 1194.81521, 'Arbitrum': 233726.33733, 'Arbitrum-pool2': 1194.81521}",236115.96775,"dict_keys(['pool2', 'Arbitrum', 'Arbitrum-pool2'])"
424,AnchorSwap,Dexes,Binance,['BSC'],"{'BSC': 132466.33183, 'BSC-staking': 261251.1027, 'staking': 261251.1027}",654968.5372299999,"dict_keys(['BSC', 'BSC-staking', 'staking'])"
425,Alium Swap,Dexes,Binance,['BSC'],"{'BSC': 25410.8813, 'BSC-staking': 22753.96498, 'staking': 22753.96498}",70918.81126,"dict_keys(['BSC', 'BSC-staking', 'staking'])"
426,Mycelium Perpetual Pools,Derivatives,Arbitrum,['Arbitrum'],{'Arbitrum': 496048.57982},496048.57982,dict_keys(['Arbitrum'])
427,BiShares,Indexes,Fantom,['BSC'],"{'BSC': 13117.67149, 'Fantom': 871.01665}",13988.68814,"dict_keys(['BSC', 'Fantom'])"
428,DefiPlaza,Dexes,Ethereum,['Ethereum'],{'Ethereum': 638651.07192},638651.07192,dict_keys(['Ethereum'])
429,Exodia,Reserve Currency,Fantom,['Fantom'],"{'Fantom-staking': 0, 'staking': 0, 'Fantom': 418.72399}",418.72399,"dict_keys(['Fantom-staking', 'staking', 'Fantom'])"
430,Synthetify,Dexes,Solana,['Solana'],{'Solana': 432612.60413},432612.60413,dict_keys(['Solana'])
431,Neku,Lending,Arbitrum,['Moonriver'],"{'Arbitrum-borrowed': 251630.98572, 'Moonriver': 241268.31049, 'BSC-borrowed': 5446.92374, 'Moonriver-borrowed': 204070.23175, 'BSC': 15886.98256, 'Arbitrum': 120087.90043, 'borrowed': 461148.14121}",1299539.4759,"dict_keys(['Arbitrum-borrowed', 'Moonriver', 'BSC-borrowed', 'Moonriver-borrowed', 'BSC', 'Arbitrum', 'borrowed'])"
432,JustLend,Lending,Tron,['Tron'],"{'Tron-borrowed': 106142226.22256, 'Tron': 3625731683.91267, 'borrowed': 106142226.22256}",3838016136.35779,"dict_keys(['Tron-borrowed', 'Tron', 'borrowed'])"
433,Stabilize,CDP,Avalanche,['Avalanche'],"{'Avalanche': 34614.62855, 'Avalanche-staking': 1744.92156, 'pool2': 1778.45582, 'Avalanche-pool2': 1778.45582, 'staking': 1744.92156}",41661.38331000001,"dict_keys(['Avalanche', 'Avalanche-staking', 'pool2', 'Avalanche-pool2', 'staking'])"
434,OpenSwap,Dexes,Harmony,['Harmony'],{'Harmony': 22630.28811},22630.28811,dict_keys(['Harmony'])
435,BecoSwap,Dexes,Kardia,['Kardia'],"{'Kardia-staking': 124505.19664, 'Kardia': 150059.71523, 'staking': 124505.19664}",399070.10851,"dict_keys(['Kardia-staking', 'Kardia', 'staking'])"
436,Dino.Exchange,Dexes,Binance,['BSC'],"{'BSC': 3816.33573, 'BSC-staking': 0, 'staking': 0}",3816.33573,"dict_keys(['BSC', 'BSC-staking', 'staking'])"
437,Defi Halal,CDP,Polygon,['Polygon'],{'Polygon': 244.13671},244.13671,dict_keys(['Polygon'])
438,Aldrin,Dexes,Solana,['Solana'],"{'Solana-staking': 714641.10394, 'Solana': 1458821.41984, 'staking': 714641.10394}",2888103.6277199998,"dict_keys(['Solana-staking', 'Solana', 'staking'])"
439,Dopex,Options,Ethereum,['Arbitrum'],"{'pool2': 554094.62246, 'Arbitrum-staking': 146060.92683, 'Ethereum-pool2': 38846.51008, 'BSC': 686.89428, 'Ethereum': 0, 'Avalanche': 256.215, 'Arbitrum': 30781891.78299, 'Arbitrum-pool2': 515248.11238, 'staking': 146060.92683}",32183145.990850005,"dict_keys(['pool2', 'Arbitrum-staking', 'Ethereum-pool2', 'BSC', 'Ethereum', 'Avalanche', 'Arbitrum', 'Arbitrum-pool2', 'staking'])"
440,Tranquil Finance,Lending,Harmony,['Harmony'],"{'Harmony-pool2': 13713.52487, 'pool2': 13713.52487, 'Harmony-staking': 8184.60872, 'Harmony': 1134848.47892, 'Harmony-borrowed': 942178.47405, 'borrowed': 942178.47405, 'staking': 8184.60872}",3063001.6942,"dict_keys(['Harmony-pool2', 'pool2', 'Harmony-staking', 'Harmony', 'Harmony-borrowed', 'borrowed', 'staking'])"
441,Atlantis Loans,Lending,Binance,['BSC'],"{'Dogechain-borrowed': 27874.34478, 'pool2': 22314.28909, 'Polygon-borrowed': 41164.68986, 'BSC-borrowed': 1677647.35185, 'BSC-pool2': 22314.28909, 'BSC': 2034854.65382, 'Dogechain': 18039.31979, 'BSC-staking': 5286.96644, 'Avalanche': 6401.17789, 'Polygon': 66365.09026, 'borrowed': 1751513.34101, 'staking': 5286.96644, 'Avalanche-borrowed': 4826.95451}",5683889.43483,"dict_keys(['Dogechain-borrowed', 'pool2', 'Polygon-borrowed', 'BSC-borrowed', 'BSC-pool2', 'BSC', 'Dogechain', 'BSC-staking', 'Avalanche', 'Polygon', 'borrowed', 'staking', 'Avalanche-borrowed'])"
442,MuesliSwap,Dexes,smartBCH,['Cardano'],"{'Milkomeda C1': 495095.62515, 'Cardano-staking': 1474558.32047, 'smartBCH': 8010.68884, 'smartBCH-staking': 1347.76955, 'Cardano': 7654272.0028, 'staking': 1475906.09001}",11109190.496820001,"dict_keys(['Milkomeda C1', 'Cardano-staking', 'smartBCH', 'smartBCH-staking', 'Cardano', 'staking'])"
443,MistSwap,Dexes,smartBCH,['smartBCH'],"{'smartBCH-staking': 0, 'smartBCH': 761300.29022, 'staking': 0}",761300.29022,"dict_keys(['smartBCH-staking', 'smartBCH', 'staking'])"
444,BenSwap,Dexes,smartBCH,['BSC'],"{'BSC': 109444.43694, 'smartBCH-staking': 626579.73252, 'BSC-staking': 223105.10133, 'smartBCH': 2683081.90777, 'staking': 849684.83385}",4491896.01241,"dict_keys(['BSC', 'smartBCH-staking', 'BSC-staking', 'smartBCH', 'staking'])"
445,BossSwap,Dexes,Harmony,['Harmony'],{'Harmony': 24830.82814},24830.82814,dict_keys(['Harmony'])
446,Angle,CDP,Ethereum,['Ethereum'],"{'Optimism': 19899.0376, 'Ethereum': 46537746.86238, 'Avalanche': 13.40869, 'Ethereum-staking': 3807721.1003, 'Polygon': 80792.53407, 'Arbitrum': 229691.37109, 'staking': 3807721.1003}",54483585.41443,"dict_keys(['Optimism', 'Ethereum', 'Avalanche', 'Ethereum-staking', 'Polygon', 'Arbitrum', 'staking'])"
447,Spartacus,Reserve Currency,Fantom,['Fantom'],"{'Fantom-staking': 477843.44412, 'staking': 477843.44412, 'Fantom': 23255924.57751}",24211611.465749998,"dict_keys(['Fantom-staking', 'staking', 'Fantom'])"
448,Katana DEX,Dexes,Ronin,['Ronin'],{'Ronin': 82959974.18182},82959974.18182,dict_keys(['Ronin'])
449,Apricot Finance,Lending,Solana,['Solana'],{'Solana': 1415081.66998},1415081.66998,dict_keys(['Solana'])
450,Trisolaris,Dexes,Aurora,['Aurora'],{'Aurora': 6177419.54223},6177419.54223,dict_keys(['Aurora'])
451,Houses of Rome,Reserve Currency,Moonriver,['Moonriver'],"{'Moonriver-staking': 2077158.25024, 'Moonriver': 0.34975, 'staking': 2077158.25024}",4154316.85023,"dict_keys(['Moonriver-staking', 'Moonriver', 'staking'])"
452,EggTartSwap,Dexes,Harmony,['Harmony'],{'Harmony': 218.21888},218.21888,dict_keys(['Harmony'])
453,LootSwap,Dexes,Harmony,['Harmony'],{'Harmony': 35531.52913},35531.52913,dict_keys(['Harmony'])
454,Bridge Mutual,Insurance,Ethereum,['Ethereum'],"{'BSC': 9733.64677, 'Ethereum': 389164.68264, 'BSC-staking': 0, 'Ethereum-staking': 271017.8264, 'Polygon': 6006.62017, 'Polygon-staking': 0, 'staking': 271017.8264}",946940.60238,"dict_keys(['BSC', 'Ethereum', 'BSC-staking', 'Ethereum-staking', 'Polygon', 'Polygon-staking', 'staking'])"
455,Fantohm,Reserve Currency,Fantom,['Fantom'],"{'Moonriver': 67516.70745, 'Fantom-staking': 1333075.06342, 'Moonriver-staking': 14332.44364, 'BSC': 0, 'Boba': 0, 'Ethereum': 498198.13957, 'Fantom': 16994707.19596, 'staking': 1347407.50706}",20255237.057099998,"dict_keys(['Moonriver', 'Fantom-staking', 'Moonriver-staking', 'BSC', 'Boba', 'Ethereum', 'Fantom', 'staking'])"
456,Pinyottas,NFT Marketplace,Ethereum,['Ethereum'],{'Ethereum': 2215.15234},2215.15234,dict_keys(['Ethereum'])
457,OolongSwap,Dexes,Boba,['Boba'],{'Boba': 1029763.48536},1029763.48536,dict_keys(['Boba'])
458,SenpaiSwap,Reserve Currency,Boba,['Boba'],"{'Boba': 382.57113, 'Boba-staking': 29959.88888, 'staking': 29959.88888}",60302.348889999994,"dict_keys(['Boba', 'Boba-staking', 'staking'])"
459,Entropyfi,Prediction Market,Polygon,['Polygon'],"{'Polygon': 7839.92223, 'pool2': 2104.54301, 'Polygon-pool2': 2104.54301}",12049.008249999999,"dict_keys(['Polygon', 'pool2', 'Polygon-pool2'])"
460,Adena Finance,Dexes,Harmony,['Harmony'],{'Harmony': 265.00121},265.00121,dict_keys(['Harmony'])
461,Rubicon,Dexes,Optimism,['Optimism'],{'Optimism': 1873947.24652},1873947.24652,dict_keys(['Optimism'])
462,SquidDao,Reserve Currency,Ethereum,['Ethereum'],"{'Ethereum': 0, 'Ethereum-staking': 0, 'staking': 0}",0.0,"dict_keys(['Ethereum', 'Ethereum-staking', 'staking'])"
463,Snowbank,Reserve Currency,Avalanche,['Avalanche'],"{'Avalanche': 0, 'Avalanche-staking': 2272482.48343, 'staking': 2272482.48343}",4544964.96686,"dict_keys(['Avalanche', 'Avalanche-staking', 'staking'])"
464,Glide Finance,Dexes,Elastos,['Elastos'],"{'Elastos': 784721.81404, 'Elastos-staking': 84547.17881, 'staking': 84547.17881}",953816.1716599999,"dict_keys(['Elastos', 'Elastos-staking', 'staking'])"
465,Blizz Finance,Lending,Avalanche,['Avalanche'],"{'Avalanche': 0, 'borrowed': 0, 'Avalanche-borrowed': 0}",0.0,"dict_keys(['Avalanche', 'borrowed', 'Avalanche-borrowed'])"
466,xSigma,Dexes,Ethereum,['Ethereum'],"{'Ethereum': 355183.26555, 'pool2': 33465.63321, 'Ethereum-staking': 9539.28771, 'staking': 9539.28771, 'Ethereum-pool2': 33465.63321}",441193.10739,"dict_keys(['Ethereum', 'pool2', 'Ethereum-staking', 'staking', 'Ethereum-pool2'])"
467,Loop Finance,Dexes,Terra,['Terra Classic'],{'Terra Classic': 167485.61888},167485.61888,dict_keys(['Terra Classic'])
468,PureSwap,Dexes,Binance,['BSC'],{'BSC': 300129.23812},300129.23812,dict_keys(['BSC'])
469,Helios Prime,Indexes,Ethereum,['Ethereum'],{'Ethereum': 2415.7381},2415.7381,dict_keys(['Ethereum'])
470,TomoFinance,CDP,TomoChain,['TomoChain'],{'TomoChain': 444.772},444.772,dict_keys(['TomoChain'])
471,FODL Finance,Options,Ethereum,['Ethereum'],"{'pool2': 385284.32816, 'Polygon-pool2': 0, 'Ethereum-pool2': 385284.32816, 'BSC': 4533.59233, 'Ethereum': 393216.05501, 'Ethereum-staking': 373635.80763, 'Polygon': 13807.53627, 'staking': 373635.80763}",1929397.45519,"dict_keys(['pool2', 'Polygon-pool2', 'Ethereum-pool2', 'BSC', 'Ethereum', 'Ethereum-staking', 'Polygon', 'staking'])"
472,Euphoria,Reserve Currency,Harmony,['Harmony'],"{'Harmony-staking': 29779.0802, 'Harmony': 0.02933, 'staking': 29779.0802}",59558.18973,"dict_keys(['Harmony-staking', 'Harmony', 'staking'])"
473,MinMax Finance,Dexes,IoTeX,['IoTeX'],{'IoTeX': 125315.28733},125315.28733,dict_keys(['IoTeX'])
474,Crodex,Dexes,Cronos,['Cronos'],{'Cronos': 1177408.92963},1177408.92963,dict_keys(['Cronos'])
475,Revest Finance,NFT Lending,Ethereum,['Ethereum'],"{'Ethereum': 1164946.38307, 'Avalanche': 10.33926, 'Polygon': 557.22165, 'Ethereum-staking': 926352.77928, 'staking': 926352.77928, 'Fantom': 62918.10135}",3081137.60389,"dict_keys(['Ethereum', 'Avalanche', 'Polygon', 'Ethereum-staking', 'staking', 'Fantom'])"
476,EmpireDEX,Dexes,Binance,['BSC'],"{'Empire': 356874.20529, 'Kava': 901.9636, 'Cronos': 409415.11669, 'BSC': 1081816.91379, 'Ethereum': 60639.0921, 'Gnosis': 46304.59639, 'Avalanche': 49100.04845, 'Polygon': 86924.61409, 'Fantom': 136203.00373}",2228179.55413,"dict_keys(['Empire', 'Kava', 'Cronos', 'BSC', 'Ethereum', 'Gnosis', 'Avalanche', 'Polygon', 'Fantom'])"
477,VVS Finance,Dexes,Cronos,['Cronos'],{'Cronos': 196220636.60838},196220636.60838,dict_keys(['Cronos'])
478,Hector Network,Dexes,Fantom,['Fantom'],"{'BSC': 466341.31343, 'Ethereum': 4691650.03366, 'Fantom-staking': 3013720.08952, 'staking': 3013720.08952, 'Fantom': 19520309.00369}",30705740.529820003,"dict_keys(['BSC', 'Ethereum', 'Fantom-staking', 'staking', 'Fantom'])"
479,ZoomSwap,Farm,IoTeX,['IoTeX'],"{'IoTeX': 2309257.40353, 'pool2': 86639.1067, 'IoTeX-staking': 26601.94981, 'IoTeX-pool2': 86639.1067, 'staking': 26601.94981}",2535739.51655,"dict_keys(['IoTeX', 'pool2', 'IoTeX-staking', 'IoTeX-pool2', 'staking'])"
480,BSCStation,Dexes,Binance,['BSC'],"{'BSC': 13187.85515, 'BSC-staking': 9513.88878, 'staking': 9513.88878}",32215.632709999998,"dict_keys(['BSC', 'BSC-staking', 'staking'])"
481,CronaSwap,Dexes,Cronos,['Cronos'],"{'Cronos': 858694.43667, 'Cronos-staking': 51690.65754, 'staking': 51690.65754}",962075.75175,"dict_keys(['Cronos', 'Cronos-staking', 'staking'])"
482,ArenaSwap,Dexes,Binance,['BSC'],"{'BSC': 17980.63316, 'BSC-staking': 12394.45608, 'staking': 12394.45608}",42769.545320000005,"dict_keys(['BSC', 'BSC-staking', 'staking'])"
483,Nemesis DAO,Reserve Currency,Binance,['BSC'],"{'BSC': 0.44699, 'BSC-staking': 449023.84751, 'staking': 449023.84751}",898048.1420100001,"dict_keys(['BSC', 'BSC-staking', 'staking'])"
484,Horizon Protocol,Derivatives,Binance,['BSC'],"{'BSC': 5508446.86619, 'BSC-staking': 44669.03482, 'pool2': 0, 'BSC-pool2': 0, 'staking': 44669.03482}",5597784.93583,"dict_keys(['BSC', 'BSC-staking', 'pool2', 'BSC-pool2', 'staking'])"
485,Standard Protocol,Dexes,Shiden,['Metis'],"{'Metis': 102986.99517, 'Ethereum': 47587.45929, 'Shiden': 82206.81013}",232781.26458999998,"dict_keys(['Metis', 'Ethereum', 'Shiden'])"
486,Component,Dexes,Ethereum,['Ethereum'],"{'BSC': 161465.74011, 'Ethereum': 232895.40497, 'Gnosis': 31954.66404, 'Ethereum-staking': 0, 'staking': 0}",426315.80912000005,"dict_keys(['BSC', 'Ethereum', 'Gnosis', 'Ethereum-staking', 'staking'])"
487,Hades Swap,Dexes,Polis,['Polis'],{'Polis': 12991.23148},12991.23148,dict_keys(['Polis'])
488,BunnyPark,Dexes,Binance,['BSC'],"{'BSC': 135078.60761, 'BSC-staking': 16915.44416, 'staking': 16915.44416}",168909.49593000003,"dict_keys(['BSC', 'BSC-staking', 'staking'])"
489,SWAPP,Dexes,Cronos,['Cronos'],{'Cronos': 21159.64101},21159.64101,dict_keys(['Cronos'])
