,name,category,chain,chains,currentChainTvls,currentChainTvls_agg,Tokens
62,Inverse Finance Frontier,CDP,Ethereum,['Ethereum'],{'Ethereum': 7505243.18128},7505243.18128,dict_keys(['Ethereum'])
63,YFDAI,Services,Ethereum,['Ethereum'],"{'Ethereum': 23348.17388, 'Ethereum-staking': 3678.5464, 'staking': 3678.5464}",30705.266679999997,"dict_keys(['Ethereum', 'Ethereum-staking', 'staking'])"
64,Varen,Dexes,Ethereum,['Ethereum'],"{'Ethereum': 179525.63654, 'pool2': 37011.28308, 'Ethereum-staking': 9713.09646, 'staking': 9713.09646, 'Ethereum-pool2': 37011.28308}",272974.39562,"dict_keys(['Ethereum', 'pool2', 'Ethereum-staking', 'staking', 'Ethereum-pool2'])"
65,MDEX,Dexes,Heco,['BSC'],"{'BSC': 34783275.33458, 'Heco': 28039672.35505}",62822947.68963,"dict_keys(['BSC', 'Heco'])"
66,BiFi,Lending,Ethereum,['Bitcoin'],"{'Klaytn': 1417612.07332, 'BSC': 4147436.15096, 'Ethereum': 2348996.56614, 'Avalanche': 211441.9684, 'Ethereum-staking': 70126.57978, 'staking': 70126.57978, 'Bitcoin': 10452991.28885}",18718731.20723,"dict_keys(['Klaytn', 'BSC', 'Ethereum', 'Avalanche', 'Ethereum-staking', 'staking', 'Bitcoin'])"
67,XUSD Money,Algo-Stables,Ethereum,['Ethereum'],"{'Ethereum': 28691.55065, 'pool2': 1431.95536, 'Ethereum-staking': 0, 'staking': 0, 'Ethereum-pool2': 1431.95536}",31555.46137,"dict_keys(['Ethereum', 'pool2', 'Ethereum-staking', 'staking', 'Ethereum-pool2'])"
68,DFX Finance,Dexes,Ethereum,['Ethereum'],"{'Ethereum': 3318153.26883, 'Polygon': 984541.72217}",4302694.991,"dict_keys(['Ethereum', 'Polygon'])"
69,CVI Finance,Synthetics,Ethereum,['Arbitrum'],"{'pool2': 1109879.39263, 'Polygon-pool2': 38352.91014, 'Arbitrum-staking': 2982088.23479, 'Ethereum-pool2': 1071526.48249, 'Ethereum': 106985.12383, 'Ethereum-staking': 102235.8396, 'Polygon': 499883.98146, 'Polygon-staking': 2371800.40883, 'Arbitrum': 1541147.38906, 'staking': 5456124.48322}",15280024.24605,"dict_keys(['pool2', 'Polygon-pool2', 'Arbitrum-staking', 'Ethereum-pool2', 'Ethereum', 'Ethereum-staking', 'Polygon', 'Polygon-staking', 'Arbitrum', 'staking'])"
70,Opyn Gamma,Options,Ethereum,['Ethereum'],"{'Ethereum': 32411825.54676, 'Avalanche': 251450.39441, 'Polygon': 76704.72756}",32739980.66873,"dict_keys(['Ethereum', 'Avalanche', 'Polygon'])"
71,Wing Finance,Lending,Ontology,['Ontology'],"{'OntologyEVM': 2284209.436, 'OKExChain-staking': 6081.228, 'OntologyEVM-staking': 77320.048, 'OKExChain': 282624.996, 'Ontology': 19554340.74, 'Ontology-staking': 583019.788, 'Ontology-borrowed': 24817862.948, 'OntologyEVM-borrowed': 7611725.6, 'BSC-borrowed': 13640921.3, 'BSC': 6857718.588, 'Ethereum': 1240668.904, 'BSC-staking': 157493.464, 'Ethereum-staking': 35656.056, 'Ethereum-borrowed': 935625.592, 'borrowed': 47204835.072, 'OKExChain-borrowed': 198699.632, 'staking': 859570.584}",126348373.976,"dict_keys(['OntologyEVM', 'OKExChain-staking', 'OntologyEVM-staking', 'OKExChain', 'Ontology', 'Ontology-staking', 'Ontology-borrowed', 'OntologyEVM-borrowed', 'BSC-borrowed', 'BSC', 'Ethereum', 'BSC-staking', 'Ethereum-staking', 'Ethereum-borrowed', 'borrowed', 'OKExChain-borrowed', 'staking'])"
72,Indexed Finance,Indexes,Ethereum,['Ethereum'],{'Ethereum': 1134481.72719},1134481.72719,dict_keys(['Ethereum'])
73,0.exchange,Dexes,Avalanche,['Avalanche'],"{'BSC': 29499.59475, 'Avalanche': 82978.78474}",112478.37949,"dict_keys(['BSC', 'Avalanche'])"
74,1inch Network,Dexes,Ethereum,['Ethereum'],"{'BSC': 4726689.4238, 'Ethereum': 5827861.19853}",10554550.622329999,"dict_keys(['BSC', 'Ethereum'])"
75,dHEDGE,Indexes,Ethereum,['Optimism'],"{'Optimism': 20169506.54208, 'Ethereum': 2188885.76536, 'Polygon': 3455246.61924, 'Ethereum-staking': 1333389.15728, 'staking': 1333389.15728}",28480417.241240002,"dict_keys(['Optimism', 'Ethereum', 'Polygon', 'Ethereum-staking', 'staking'])"
76,Opium,Options,Ethereum,['Ethereum'],"{'BSC': 467.77349, 'Ethereum': 2673770.06208, 'Polygon': 85022.11596, 'Arbitrum': 61.85595}",2759321.8074800004,"dict_keys(['BSC', 'Ethereum', 'Polygon', 'Arbitrum'])"
77,Armor,Insurance,Ethereum,['Ethereum'],"{'Ethereum': 0, 'Ethereum-staking': 571014.36106, 'staking': 571014.36106}",1142028.72212,"dict_keys(['Ethereum', 'Ethereum-staking', 'staking'])"
78,Unit Protocol,CDP,Ethereum,['Ethereum'],{'Ethereum': 265694.62026},265694.62026,dict_keys(['Ethereum'])
79,Pangolin,Dexes,Avalanche,['Avalanche'],"{'Songbird': 339029.31956, 'Flare': 447530.25272, 'Songbird-staking': 68023.11597, 'Hedera': 9209167.11345, 'Avalanche': 27568159.60587, 'Avalanche-staking': 3577865.70631, 'staking': 3645888.82228}",44855663.93616,"dict_keys(['Songbird', 'Flare', 'Songbird-staking', 'Hedera', 'Avalanche', 'Avalanche-staking', 'staking'])"
80,DefiDollar DAO,Algo-Stables,Ethereum,['Ethereum'],{'Ethereum': 3109516.49896},3109516.49896,dict_keys(['Ethereum'])
81,BAO Swap,Dexes,xDai,['Gnosis'],{'Gnosis': 280114.27811},280114.27811,dict_keys(['Gnosis'])
82,Ooki,Lending,Ethereum,['Ethereum'],"{'Optimism': 11994.26128, 'BSC': 3356.7405, 'Ethereum': 353147.19558, 'Ethereum-staking': 4329199.80861, 'Polygon': 75989.23926, 'Arbitrum': 59627.43068, 'staking': 4329199.80861}",9162514.48452,"dict_keys(['Optimism', 'BSC', 'Ethereum', 'Ethereum-staking', 'Polygon', 'Arbitrum', 'staking'])"
83,Reflexer,CDP,Ethereum,['Ethereum'],{'Ethereum': 31768850.23591},31768850.23591,dict_keys(['Ethereum'])
84,Complus Network,Dexes,Avalanche,['Avalanche'],"{'BSC': 19494.0097, 'Heco': 12994.79104, 'Avalanche': 88125.60899, 'Polygon': 342.99508}",120957.40480999998,"dict_keys(['BSC', 'Heco', 'Avalanche', 'Polygon'])"
85,Ubeswap,Dexes,Celo,['Celo'],{'Celo': 3239294.05237},3239294.05237,dict_keys(['Celo'])
86,PandaSwap,Dexes,Binance,['BSC'],{'BSC': 466962.7558},466962.7558,dict_keys(['BSC'])
87,Sablier Finance,Payments,Ethereum,['Ethereum'],"{'Ethereum': 5699405.7814, 'vesting': 128289193.28565, 'Ethereum-vesting': 128289193.28565}",262277792.3527,"dict_keys(['Ethereum', 'vesting', 'Ethereum-vesting'])"
